auname
Hope Loring
Louis D. Lighton
NULL
James Gleason
Norman Houston
Sarah Y. Mason
Tom Barry
Frances Marion
Martin Flavin
Joseph Farnham
Lennox Robinson
Howard Estabrook
Edna Ferber
William A. Drake
Leonard Praskins
Wanda Tuchock
Reginald Berkeley
Rian James
James Seymour
Whitney Bolton
Frank Borzage
Ernest Hemingway
Benjamin Glazer
Oliver H.P. Garrett
Victor Heerman
Lajos Biró
Arthur Wimperis
Mae West
Harvey Thew
John Bright
Robert Riskin
Ernest Vajda
Claudine West
Donald Ogden Stewart
George Marion Jr.
Edward Kaufman
Dwight Taylor
Dorothy Yost
William Hurlbut
Dashiell Hammett
Frances Goodrich
Albert Hackett
Jules Furthman
Talbot Jennings
Carey Wilson
Mortimer Offner
Casey Robinson
Dudley Nichols
Mary C. McCall Jr.
Charles Kenyon
Allan Scott
William Anthony McGuire
Sidney Howard
George Oppenheimer
Maurine Dallas Watkins
Wallace Sullivan
Howard Emmet Rogers
Maurine Watkins
Anita Loos
Erich von Stroheim
Robert E. Hopkins
S.N. Behrmann
W.P. Lipscomb
Adele Comandini
Austin Parker
Norman Reilly Raine
Heinz Herald
Geza Herczeg
Viña Delmar
John Lee Mahin
Marc Connelly
Dale Van Every
Marc Connolly
Lillian Hellman
Tess Slesinger
Donald Davis
Gregory La Cava
Morrie Ryskind
Anthony Veiller
Dorothy Parker
Alan Campbell
Bob Carson
Ring Lardner Jr.
Budd Schulberg
David O. Selznick
William Wellman
Ben Hecht
Adela Rogers St. John
W. Howard Greene
Seton I. Miller
Michael Curtiz
William Keighley
Lamar Trotti
Kathryn Scola
Irving Berlin
Richard Sherman
Dore Schary
Eleanore Griffin
John Meehan
Ian Dalrymple
Frank Wead
Elizabeth Hill
Emlyn Williams
Bertram Bloch
R.C. Sherriff
Eric Maschwitz
James Hilton
Sidney Franklin
Delmer Daves
Leo McCarey
Sidney Buchman
Charles Brackett
Billy Wilder
Walter Reisch
Ernst Lubitsch
Melchior Lengyel
Eugene Solow
Florence Ryerson
Noel Langley
Edgar Allan Woolf
Charles MacArthur
Charles Bennett
Joan Harrison
Richard Maibaum
Robert Benchley
Nunnally Johnson
Charles Chaplin
Dalton Trumbo
Howard Koch
Frank Craven
Thornton Wilder
Harry Chandlee
Waldo Salt
Richard Llewellyn
Philip Dunne
Ralph Wheelwright
Herman J. Mankiewicz
Orson Welles
Harry Segall
Arthur Kober
John Huston
Abem Finkel
Alma Reville
Alfred Hitchcock
Samson Raphaelson
George Froeschel
Jo Swerling
Paul Gallico
Irwin Shaw
Sidney Harmon
Robert Buckner
Edmund Joseph
Julius J. Epstein
Philip G. Epstein
Noel Coward
Paul Osborn
Paul H. Rameau
Robert Russell
Frank Ross
Richard Flournoy
Lewis R. Foster
George Seaton
Frank Corvett
Frank Butler
Frank Cavett
Raymond Chandler
John Van Druten
John L. Balderston
Isobel Lennart
Ranald MacDougall
Robert E. Sherwood
Frank Capra
Moss Hart
John Paxton
Laurence Olivier
Alan Dent
Allen Vincent
Irma von Cube
Michael Powell
Emeric Pressburger
Keith Winter
Frank Partos
Millen Brand
Robert Rossen
Robert Penn Warren
Robert Pirosh
Joseph L. Mankiewicz
Vera Caspary
Beirne Lay
Lt. Beirne Lay Jr.
Sy Bartlett
Albert Mannheimer
Helen Deutsch
Compton Bennett
Andrew Marton
D.M. Marshman
Jr.
Alan Jay Lerner
Vincente Minnelli
Peter Viertel
Michael Wilson
Harry Brown
Tennessee Williams
Oscar Saul
Fredric M. Frank
Barré Lyndon
Theodore St. John
Carl Foreman
Aeneas MacKenzie
Frank S. Nugent
Daniel Taradash
Albert Maltz
Gina Kaus
John Dighton
Ian McLellan Hunter
William Wyler
A.B. Guthrie Jr.
Jack Sher
Stanley Roberts
Michael Blankfort
Dorothy Kingsley
John Patrick
Paddy Chayefsky
Joshua Logan
Hal Kanter
John Farrow
James Poe
S.J. Perelman
Fred Guiol
Ivan Moffat
Ernest Lehman
Jesse L. Lasky
Jack Gariss
Jesse Lasky Jr.
John Michael Hayes
Lawrence B. Marcus
Harry Kurnitz
Frederick Loewe
Betty Comden
Adolph Green
Robert E. Lee
Dennis Patrick
Richard Brooks
Harold Jacob Smith
Ned Young
Nathan E. Douglas
John Gay
Terence Rattigan
Karl Tunberg
Wendell Mayes
Robert Anderson
I.A.L. Diamond
James Edward Grant
J. Lee Thompson
Sidney Carroll
Robert Bolt
Cornelius Ryan
David Pursall
James Jones
Jack Seddon
Romain Gary
Marion Hargrove
Charles Lederer
John Osborne
Elia Kazan
Edward Anhalt
Jean Anouilh
Don DaGradi
Bill Walsh
Frederic Raphael
Abby Mann
Stanley Kramer
Constance Willis
Bill Naughton
William Rose
Nathaniel Benchley
Stirling Silliphant
Sterling Silliphant
David Newman
Robert Benton
Leslie Bricusse
Calder Willingham
Buck Henry
Vernon Harris
Lionel Bart
Vernon Gilbert Harris
Jule Styne
Bob Merrill
James Goldman
Stewart Stern
Franco Zeffirelli
Masolino DAmico
Franco Brusati
John Boland
Bridget Boland
John Hale
Richard Sokolove
William Goldman
George Roy Hill
Jorge Semprún
Costa-Gavras
Francis Ford Coppola
Edmund H. North
Adrien Joyce
Carole Eastman
Bob Rafelson
Erich Segal
Ernest Tidyman
Stanley Kubrick
Joseph Stein
Peter Bogdanovich
Larry McMurtry
Edward Bond
Mario Puzo
Jay Presson Allen
Hugh Wheeler
James Dickey
Dale Dye
David S. Ward
Marvin Hamlisch
George Lucas
