dname
William Wellman
NULL
Harry Beaumont
Irving Cummings
Raoul Walsh
George W. Hill
Wesley Ruggles
Edmund Goulding
King Vidor
Frank Lloyd
Lloyd Bacon
Frank Borzage
George Cukor
Alexander Korda
Lowell Sherman
Frank Capra
Sidney Franklin
Mark Sandrich
John M. Stahl
W.S. Van Dyke
George Stevens
Michael Curtiz
John Ford
William Dieterle
Max Reinhardt
Robert Z. Leonard
William Wyler
Jack Conway
D.W. Griffith
Henry Koster
Irving Rapper
Leo McCarey
Victor Fleming
Gregory La Cava
William Keighley
Henry King
Norman Taurog
Sam Wood
Ernst Lubitsch
Lewis Milestone
Anatole Litvak
Alfred Hitchcock
Charles Chaplin
Mervyn LeRoy
Orson Welles
Alexander Hall
John Huston
Howard Hawks
Hugh MacMullan
Clarence Brown
David Lean
Noel Coward
Herman Shumlin
Billy Wilder
George Sidney
Elia Kazan
Edward Dmytryk
George Seaton
Laurence Olivier
Jean Negulesco
Michael Powell
Emeric Pressburger
Robert Rossen
Joseph L. Mankiewicz
Vincente Minnelli
Compton Bennett
Andrew Marton
Cecil B. DeMille
Fred Zinnemann
Richard Thorpe
Stanley Donen
Delbert Mann
Joshua Logan
Daniel Mann
Michael Anderson
Walter Lang
Mark Robson
Morton DaCosta
Richard Brooks
Stanley Kramer
Otto Preminger
John Wayne
Robert Wise
Jerome Robbins
J. Lee Thompson
Ken Annakin
Gerd Oswald
Bernhard Wicki
Darryl F. Zanuck
Carol Reed
Tony Richardson
Ralph Nelson
Peter Glenville
Robert Stevenson
John Schlesinger
Lewis Gilbert
Norman Jewison
Mike Nichols
Arthur Penn
Richard Fleischer
Anthony Harvey
Paul Newman
Franco Zeffirelli
Charles Jarrott
George Roy Hill
Gene Kelly
Costa-Gavras
Franklin J. Schaffner
Henry Hathaway
Bob Rafelson
Dennis Hopper
Arthur Hiller
Robert Altman
William Friedkin
Stanley Kubrick
Peter Bogdanovich
Francis Ford Coppola
Bob Fosse
John Boorman
George Lucas
Ingmar Bergman
Melvin Frank
Roman Polanski
John Guillermin
Irwin Allen
Milos Forman
Sidney Lumet
Steven Spielberg
John G. Avildsen
Alan J. Pakula
Martin Scorsese
Woody Allen
Herbert Ross
Michael Cimino
Warren Beatty
Buck Henry
Alan Parker
Robert Benton
Peter Yates
Robert Redford
Michael Apted
David Lynch
Hugh Hudson
Louis Malle
Mark Rydell
Richard Attenborough
Sydney Pollack
James L. Brooks
Lawrence Kasdan
Bruce Beresford
Roland Joffé
Hector Babenco
Peter Weir
Oliver Stone
Randa Haines
Bernardo Bertolucci
James A. Brooks
Adrian Lyne
Barry Levinson
Stephen Frears
Phil Alden Robinson
Jim Sheridan
Penny Marshall
Jerry Zucker
Jonathan Demme
Gary Trousdale
Barbra Streisand
Clint Eastwood
Neil Jordan
Rob Reiner
James Ivory
Martin Brest
Andrew Davis
Jane Campion
Robert Zemeckis
Mike Newell
Quentin Tarantino
Frank Darabont
Mel Gibson
Ron Howard
Chris Noonan
Anthony Minghella
Joel Coen
Ethan Coen
Scott Hicks
James Cameron
Peter Cattaneo
Gus Van Sant
Curtis Hanson
John Madden (II)
Shekhar Kapur
Terrence Malick
Sam Mendes
Lasse Hallstrom
Michael Mann
M. Night Shyamalan
Ridley Scott
Steven Soderbergh
Todd Field
Peter Jackson
Baz Luhrmann
Rob Marshall
Stephen Daldry
Gary Ross
Marc Forster
Taylor Hackford
Alexander Payne
Paul Haggis
Ang Lee
Bennett Miller
Alejandro González Iñárritu
Jonathan Dayton
Valerie Faris
Joe Wright
Jason Reitman
Tony Gilroy
Paul Thomas Anderson
Danny Boyle
David Fincher
John Lee Hancock
Neill Blomkamp
Lone Scherfig
Roger Deakins
Linn Patrick
Pete Docter
Bob Peterson
Peter Docter
Tom Hooper
Darren Aronofsky
David O. Russell
Christopher Nolan
Lisa Cholodenko
Lee Unkrich
Debra Granik
Michel Hazanavicius
Tate Taylor
Ben Affleck
Michael Haneke
Michaelhaneke
Benh Zeitlin
Steve McQueen (III)
Paul Greengrass
Jean-Marc Vallée
Alfonso Cuarón
Spike Jonze
Richard Linklater
Wes Anderson
Morten Tyldum
Ava DuVernay
James Marsh
Damien Chazelle
Adam McKay
John Crowley
George Miller
Manny Palo
Lenny Abrahamson
Barry Jenkins (III)
Denis Villeneuve
Denzel Washington
David Mackenzie
Garth Davis
Kenneth Lonergan
Guillermo del Toro
Jordan Peele
Greta Gerwig
Martin McDonagh
Peter Farrelly
Ryan Coogler
Spike Lee
Bryan Singer
Yorgos Lanthimos
Bradley Cooper
Todd Phillips
Noah Baumbach
