film_name,osyear,release_year,duration,imdb_rating,imdb_votes,film_id
Wings,1927,1927,144,7.5,12221,2becf7d5-a3de-46ab-ae45-abdd6b588067
7th Heaven,1927,1927,110,7.7,3439,19ed3295-a878-4fd2-8e60-5cd7b5f93dad
The Racket,1927,1928,84,6.7,1257,3111c2d8-0908-4093-8ff3-99c89f2f2f08
The Broadway Melody,1928,1929,100,5.7,6890,de063f3f-2d35-4e1c-8636-6eb4c16bd236
Alibi,1928,1929,91,5.8,765,609887c2-877c-43a4-b88c-e40e31096a98
Hollywood Revue,1928,1929,130,5.7,2004,689f22d5-a700-4ce1-b9be-65652f32c186
In Old Arizona,1928,1928,95,5.6,1019,a0644f19-a136-44c2-ab5d-50978ef19608
The Patriot,1928,1928,113,7.4,18,5d4ef7bd-2f81-47f3-9305-2c8fe140d4e4
All Quiet on the Western Front,1929,1930,152,8.1,59214,281742f9-3b4e-480d-b704-c8c15de6b721
The Big House,1929,1930,87,7.1,2079,297aa285-29d7-4a22-b833-c5632ab3e562
Disraeli,1929,1929,90,6.2,1143,831f96b0-ebf5-4e09-b47c-d39817b86092
The Divorcee,1929,1930,84,6.7,2982,71614648-8545-4f91-a15e-4991f0eb7f13
The Love Parade,1929,1929,107,7.0,2163,0dbbedb5-b8f0-4f0a-9ff7-95e75e43eca7
Cimarron,1930,1931,123,5.9,5851,db2683c0-128e-4b5c-858f-d9f18c2fb9b9
East Lynne,1930,1931,102,5.9,188,ed8c7dfc-97ab-4825-8bbc-74d31292acb4
The Front Page,1930,1931,101,6.8,2741,c873d149-786b-413f-ba9d-9978040b5436
Skippy,1930,1931,85,6.3,772,0f7347c9-a0a5-430b-8f28-43d703c9c4c8
Trader Horn,1930,1931,122,6.3,957,bd308f8f-cb26-43a0-8b5b-f110934927e0
Grand Hotel,1931,1932,112,7.4,18314,be69f946-6adc-47e4-8491-79d6c033f59d
Arrowsmith,1931,1931,108,6.2,1663,91572891-4303-45c2-967a-601b9fa8fe70
Bad Girl,1931,1931,90,6.5,1248,e97f865a-8711-465a-88da-423b67c08738
The Champ,1931,1931,86,7.3,3003,c8994348-093e-4e22-8ffe-6ad3332a2bab
Five Star Final,1931,1931,89,7.3,1944,9236968a-9ea9-473b-abe2-28ec8c141a8e
One Hour with You,1931,1932,78,7.2,2317,2299e2df-e18d-41d7-b5b9-ec0041db956d
Shanghai Express,1931,1932,82,7.3,8325,a6f9841d-533f-4360-9c6a-dbb3d26c8dd6
The Smiling Lieutenant,1931,1931,93,7.2,3540,cbe0150a-db25-4d46-9d21-183802460465
Cavalcade,1932,1933,112,5.9,4961,e71a2212-92c3-4212-9eb2-d468f10c768e
42nd Street,1932,1933,89,7.4,11342,1ad59370-1ed5-4d3a-a8c4-8571f95da168
A Farewell to Arms,1932,1932,80,6.5,5567,39ab1f95-f400-4cdc-be82-425015486234
I Am a Fugitive from a Chain Gang,1932,1932,92,8.2,12604,e36dda02-b84a-4337-ad66-cfa30a5df599
Lady for a Day,1932,1933,96,7.4,3971,7dda746d-5569-4711-afa6-9b76b5e7fa4f
Little Women,1932,1933,115,7.2,6778,f6fa2e25-588d-414f-a59d-67b9eb033270
The Private Life of Henry VIII,1932,1933,97,7.1,4090,625a769c-475b-4c27-8c25-01905fe4f583
She Done Him Wrong,1932,1933,66,6.4,5899,af3be976-1cee-4383-a6f1-50545a634ab5
Smilin Through,1932,1932,98,6.9,1266,cd94faa5-73a9-49d2-82ab-4fcafbde6dc8
State Fair,1932,1933,99,6.8,829,01707372-d948-43ef-91ed-f57945a48ed4
It Happened One Night,1934,1934,105,8.1,98409,88fe2d2b-3e07-4c9f-9978-388b4f7b0c93
The Barretts of Wimpole Street,1934,1934,109,7.0,1795,d66f2e6e-b9a6-4f20-972b-315f3998b5a4
Cleopatra,1934,1934,100,6.8,3678,30a8cacf-0902-4d8c-9c02-934c09e284a6
Flirtation Walk,1934,1934,97,5.7,700,97e60fc4-5f01-412e-b350-075f1c78939f
The Gay Divorcee,1934,1934,107,7.5,7455,4cff46f4-7853-40a0-9b52-39643b2d257a
Here Comes the Navy,1934,1934,87,6.3,940,becfca3d-e679-46b3-a592-a13fcef61f5a
The House of Rothschild,1934,1934,88,6.6,1127,a1f33617-6fce-4106-bcd4-4e5b540175e2
Imitation of Life,1934,1934,111,7.5,4423,ec7b23f4-2394-4739-adaa-6dbeb10b0b28
One Night of Love,1934,1934,84,5.7,577,ff621866-7c96-4eb3-855c-0c10be8340ce
The Thin Man,1934,1934,91,8.0,27959,3ae65a34-8ae8-42c5-9404-06faa25b3cb0
Viva Villa!,1934,1934,115,6.4,1277,3ca53584-968b-4ef8-9a29-408223864bc9
