pname
Arlette Marchal
Carl von Hartmann
Charles Barton
Charles Buddy Rogers
Charles Rogers
Dick Grace
Dorothy Coonan Wellman
El Brendel
Frank Tomick
Gary Cooper
George Irving
Gloria Wellman
Gunboat Smith
Hedda Hopper
Henry B. Walthall
James Pierce
Jobyna Ralston
Julia Swayne Gordon
Louis D. Lighton
Margery Chapin Wellman
Nigel De Brulier
Richard Arlen
Richard Tucker
Rod Rogers
Roscoe Karns
Thomas Carrigan
William Wellman
Clara Bow
Famous Players-Lasky
Hope Loring
Fox
NULL
The Caddo Company
Angella Mawby
Bessie Love
Charles King
Charles King Bibby
Claudette Mawby
Claudine Mawby
Drew Demarest
Eddie Kane
Edward Dillon
J. Emmett Beck
J.E. Beck
James Gleason
Jed Prouty
Ken Thomson
Marshall Ruth
Mary Doran
Nacio Herb Brown
Norman Houston
Ray Cooke
Sarah Y. Mason
Anita Page
Harry Beaumont
Metro-Goldwyn-Mayer
Feature Productions
Alphonse Ethier
Chris-Pin Martin
Dorothy Burgess
Duke Martin
Edmund Lowe
Edward Peil Sr.
Frank Campeau
Frank Nelson
Fred Warren
Helen Lynch
Henry Armetta
Ivan Linow
J. Farrell MacDonald
James Bradbury Jr
James Marcus
Joe E. Brown
John Webb Dillon
Lola Salvi
Pat Hartigan
Raoul Walsh
Roy Stewart
Soledad Jiminez
Tom Santschi
Irving Cummings
Tom Barry
Warner Baxter
Paramount Famous Lasky
Universal
Adolph Seidel
Chester Morris
Claire McDowell
DeWitt Jennings
Eddie Foyer
Eddie Lambert
Fletcher Norton
George F. Marion
J.C. Nugent
Joseph Farnham
Karl Dane
Leila Hyams
Lennox Robinson
Lewis Stone
Martin Flavin
Matthew Betz
Michael Vavitch
Robert E. OConnor
Robert Emmett OConnor
Robert Montgomery
Roscoe Ates
Tom Kennedy
Tom Wilson
Cosmopolitan
Frances Marion
George W. Hill
Wallace Beery
Warner Bros.
Ann Lee
Bob Kortman
Bob McKenzie
Clara Hunt
Dennis OKeefe
Dolores Brown
Donald Dillaway
Douglas Scott
Edna Ferber
Edna May Oliver
Estelle Taylor
Eugene Jackson
Frank Beal
Frank Darien
Frank OConnor
Frederick Burt
George E. Stone
Gloria Vonic
Helen Parrish
Henry Roquemore
Irene Dunne
Junior Johnson
Lillian Lane
Lois Jane Campbell
Nance ONeil
Nancy Dover
Nell Craig
Otto Hoffman
Reggie Streeter
Robert McWade
Stanley Fields
Tyrone Brereton
William Collier
William Collier Jr.
William Janney
William Orlamond
William P. Burt
Howard Estabrook
RKO Radio
Richard Dix
Wesley Ruggles
Paramount Publix
Bodil Rosing
Edwin Maxwell
Ferdinand Gottschalk
Frank Conroy
Herbert Evans
Jean Hersholt
Joan Crawford
John Barrymore
John Davidson
Lee Phelps
Lionel Barrymore
Mary Carlisle
Morgan Wallace
Murray Kinnell
Purnell Pratt
Rafaela Ottiano
Rolfe Sedan
Sam McDaniel
Tully Marshall
Edmund Goulding
Greta Garbo
William A. Drake
Samuel Goldwyn Productions
Edward S. Brophy
Frank S. Hagney
Hale Hamilton
Irene Rich
Jackie Cooper
Jesse Scott
Leonard Praskins
Marcia Mae Jones
Rhonda Jo Petty
