"name","dept","area","count","adjustedcount","year"
Sherief Reda,Brown University,iccad,1.0,0.25,2011
Kenneth G. Paterson,ETH Zurich,oakland,1.0,0.25,2019
In-So Kweon,KAIST,iros,3.0,0.55952,2016
Ryan Stutsman,University of Utah,osdi,2.0,0.30952,2018
Qinfeng Shi,University of Adelaide,ubicomp,1.0,0.2,2021
Tianzheng Wang 0001,Simon Fraser University,rtss,1.0,0.2,2011
Jenny Waycott,University of Melbourne,chiconf,1.0,0.16667,2016
Hassan Foroosh,University of Central Florida,eccv,1.0,0.5,2008
Manfred K. Warmuth,Univ. of California - Santa Cruz,nips,2.0,1.0,1998
Ezio Bartocci,TU Wien,cav,1.0,0.14286,2011
David Wentzlaff,Princeton University,hpca,1.0,0.25,2017
Dan Suciu,University of Washington,sigmod,5.0,1.2833,2020
Siamak Ravanbakhsh,University of British Columbia,nips,1.0,0.33333,2014
Jan-Michael Frahm,University of North Carolina,cvpr,1.0,0.5,2006
Michelle L. Mazurek,University of Maryland - College Park,ndss,1.0,0.125,2020
Jason I. Hong,Carnegie Mellon University,mobisys,2.0,0.34286,2009
David F. Fouhey,University of Michigan,eccv,1.0,0.33333,2014
Matthias Nießner,TU Munich,chiconf,1.0,0.076923,2014
Nicolai Marquardt,University College London,uist,1.0,0.071429,2021
Pat Pannuto,Univ. of California - San Diego,mobicom,1.0,0.2,2020
Soontae Kim,KAIST,hpca,1.0,0.25,2017
Weixiong Zhang,Washington University in St. Louis,ijcai,2.0,1.3333,2003
Adnan Darwiche,Univ. of California - Los Angeles,aaai,2.0,1.5,2002
Doron A. Peled,Bar-Ilan University,cav,1.0,1.0,1994
Margaret Martonosi,Princeton University,asplos,1.0,0.5,2010
Josep Torrellas,Univ. of Illinois at Urbana-Champaign,sc,2.0,0.83333,1994
Danielle Albers Szafir,University of North Carolina,chiconf,3.0,0.33333,2021
Liwei Wang 0009,Chinese University of Hong Kong,emnlp,1.0,0.16667,2021
Kohei Suenaga,Kyoto University,cav,1.0,0.5,2012
Jennifer G. Dy,Northeastern University,ijcai,1.0,0.25,2009
Haiko Müller,University of Leeds,soda,1.0,0.33333,2016
Tongwei Ren,Nanjing University,aaai,1.0,0.2,2013
Yao Liu 0007,University of South Florida,ccs,1.0,0.14286,2016
Jarke J. van Wijk,TU Eindhoven,vis,1.0,0.16667,2000
Henry A. Kautz,University of Rochester,cvpr,1.0,0.25,2008
Hans-Peter Seidel,Max Planck Society,vis,2.0,0.36667,2014
Yung-Ju Chang,National Chiao Tung University,chiconf,3.0,0.54167,2021
Christoforos E. Kozyrakis,Stanford University,asplos,1.0,0.16667,2011
Mingyan Liu,University of Michigan,mobicom,1.0,0.33333,2003
Eli Upfal,Brown University,icde,1.0,0.2,2012
Sheng Li 0001,University of Georgia,nips,1.0,0.5,2017
Preslav Nakov,Qatar Computing Research Institute,emnlp,3.0,0.73333,2018
Yat Chiu Law,Chinese University of Hong Kong,aaai,1.0,0.5,2002
Marina Blanton,University at Buffalo,pets,1.0,0.5,2016
Jan Peters 0001,TU Darmstadt,rss,2.0,0.4,2021
Orr Dunkelman,University of Haifa,eurocrypt,1.0,0.2,2010
Michael D. Smith 0001,Harvard University,asplos,1.0,0.33333,1992
Laks V. S. Lakshmanan,University of British Columbia,sigmod,1.0,0.25,2001
Michael R. Lyu,Chinese University of Hong Kong,pldi,1.0,0.25,2013
Michael Pradel,University of Stuttgart,icse,1.0,0.5,2013
Changhee Jung,Purdue University,micro,1.0,0.33333,2019
Iftach Haitner,Tel Aviv University,stoc,2.0,0.83333,2014
Santosh Pande,Georgia Institute of Technology,asplos,1.0,0.33333,2004
Jacopo Urbani,VU Amsterdam,aaai,1.0,0.5,2020
Mu Zhang 0001,University of Utah,ccs,1.0,0.1,2018
Dinesh K. Pai,University of British Columbia,siggraph,1.0,0.33333,2008
Bryan A. Plummer,Boston University,emnlp,1.0,0.33333,2020
Grigore Rosu,Univ. of Illinois at Urbana-Champaign,cav,1.0,0.33333,2020
Nima Anari,Stanford University,focs,2.0,0.83333,2018
Yevgeny Seldin,University of Copenhagen,nips,1.0,0.33333,2019
Andreas Schilling 0001,University of Tübingen,iros,1.0,0.25,2004
Sabine Schulte im Walde,University of Stuttgart,acl,1.0,0.5,2002
Jun-yong Noh,KAIST,siggraph,1.0,0.2,2019
Mariana Luderitz Kolberg,UFRGS,iros,1.0,0.125,2015
James Zou 0001,Stanford University,ec,1.0,0.25,2015
Emad Shihab,Concordia University,fse,1.0,0.2,2011
Siddhartha Banerjee,Cornell University,sigmetrics,1.0,0.33333,2018
Patrick Baudisch,Hasso Plattner Institute,chiconf,2.0,0.83333,2004
Jun Xiao 0001,Zhejiang University,cvpr,1.0,0.14286,2017
Baoquan Chen,Peking University,siggraph,2.0,0.33333,2021
Niloy J. Mitra,University College London,siggraph,3.0,0.7,2012
Yongfeng Zhang,Rutgers University,aaai,1.0,0.25,2015
Ka-Chun Wong,City University of Hong Kong,ijcai,1.0,0.2,2015
Arpita Ghosh,Cornell University,ec,1.0,0.5,2015
Jun Wang 0012,University College London,nips,1.0,0.25,2019
Cyrus Omar,University of Michigan,icfp,1.0,0.5,2018
Pierre Lescanne,Ecole Normale Superieure de Lyon,lics,1.0,1.0,1990
Fei-Fei Li 0001,Stanford University,cvpr,2.0,0.83333,2007
John D. Lafferty,Yale University,aaai,1.0,0.5,2019
Alfons Kemper,TU Munich,vldb,1.0,0.33333,1993
João Paulo Costeira,Universidade de Lisboa,nips,1.0,0.25,2011
Greg Mori,Simon Fraser University,nips,1.0,0.25,2018
Suman Jana,Columbia University,oakland,2.0,1.0,2012
Zhumin Chen,Shandong University,www,1.0,0.16667,2019
Ce Zhang 0001,ETH Zurich,icml,2.0,0.45,2018
Wolfram Burgard,University of Freiburg,iros,3.0,1.1667,2002
Jan Friso Groote,TU Eindhoven,lics,1.0,0.33333,2004
Richard J. Anderson,University of Washington,cav,1.0,0.25,1997
Trinabh Gupta,Univ. of California - Santa Barbara,sosp,1.0,0.2,2021
Ahmed Eldawy,Univ. of California - Riverside,vldb,1.0,0.33333,2019
Haibo Gao,Harbin Institute of Technology,iros,3.0,0.5,2019
Mohammad Hassan Hajiesmaili,University of Massachusetts Amherst,aaai,1.0,0.25,2021
Frédo Durand,Massachusetts Institute of Technology,siggraph,5.0,1.019,2008
Bodo Rosenhahn,University of Hannover,iccv,1.0,0.25,2009
Piotr Skowron 0001,University of Warsaw,ec,1.0,0.33333,2019
Niranjan Balasubramanian,Stony Brook University,acl,2.0,0.45,2021
Daniel M. Kane,Univ. of California - San Diego,icml,1.0,0.16667,2017
Yannis E. Ioannidis,University of Athens,sigmod,1.0,0.5,1989
Feiping Nie 0001,NWPU,ijcai,1.0,0.25,2009
Ronald L. Graham,Univ. of California - San Diego,dac,1.0,0.2,2006
Chenhao Tan,University of Chicago,www,2.0,0.41667,2019
Betty H. C. Cheng,Michigan State University,icse,1.0,0.5,1999
Kenny Q. Zhu,Shanghai Jiao Tong University,www,2.0,0.83333,2021
Rina Dechter,Univ. of California - Irvine,ijcai,2.0,0.7,1995
