institution,region,countryabbrv
AUEB,europe,gr
University of Pisa,europe,it
American University in Cairo,africa,eg
Stellenbosch University,africa,za
University of Cape Town,africa,za
American University of Beirut,asia,lb
BITS Pilani,asia,in
BITS Pilani-Goa,asia,in
BUET,asia,bd
BUPT,asia,cn
Beihang University,asia,cn
CMI,asia,in
Chinese Academy of Sciences,asia,cn
Chinese University of Hong Kong,asia,hk
Chulalongkorn University,asia,th
City University of Hong Kong,asia,hk
DAIICT,asia,in
De La Salle University,asia,ph
Fudan University,asia,cn
HKUST,asia,hk
HUST,asia,cn
Hanyang University,asia,kr
Harbin Institute of Technology,asia,cn
Hong Kong Baptist University,asia,hk
Hunan University,asia,cn
IIIT Bangalore,asia,in
IIIT Delhi,asia,in
IIIT Hyderabad,asia,in
IISc Bangalore,asia,in
IIT (BHU) Varanasi,asia,in
IIT Bhubaneswar,asia,in
IIT Bombay,asia,in
IIT Delhi,asia,in
IIT Gandhinagar,asia,in
IIT Goa,asia,in
IIT Guwahati,asia,in
IIT Hyderabad,asia,in
IIT Indore,asia,in
IIT Jodhpur,asia,in
IIT Kanpur,asia,in
IIT Kharagpur,asia,in
IIT Madras,asia,in
IIT Mandi,asia,in
IIT Patna,asia,in
IIT Roorkee,asia,in
IIT Ropar,asia,in
IMSc,asia,in
IPM,asia,ir
IUST,asia,ir
JUST,asia,jo
KAIST,asia,kr
KAUST,asia,sa
KMUTNB,asia,th
Keio University,asia,jp
King Abdulaziz University,asia,sa
Korea University,asia,kr
Kyoto University,asia,jp
Kyung Hee University,asia,kr
Kyungpook National University,asia,kr
LUMS,asia,pk
Lebanese American University,asia,lb
MBZUAI,asia,ae
Masdar Institute,asia,ae
NWPU,asia,cn
NYU Shanghai,asia,cn
Nanjing University,asia,cn
Nanyang Technological University,asia,sg
National Cheng Kung University,asia,tw
National Chiao Tung University,asia,tw
National Institute of Technology Silchar,asia,in
National Taiwan University,asia,tw
National Tsing Hua University,asia,tw
National University of Singapore,asia,sg
Osaka University,asia,jp
POSTECH,asia,kr
Peking University,asia,cn
Qatar Computing Research Institute,asia,qa
Qatar University,asia,qa
Renmin University of China,asia,cn
SUFE,asia,cn
SUSTech,asia,cn
SUTD,asia,sg
Seoul National University,asia,kr
Shandong University,asia,cn
Shanghai Jiao Tong University,asia,cn
ShanghaiTech University,asia,cn
Sharif University of Technology,asia,ir
Shenzhen University,asia,cn
Singapore Management University,asia,sg
Soochow University,asia,cn
Sun Yat-sen University,asia,cn
Tata Inst. of Fundamental Research,asia,in
Texas A&M at Qatar,asia,qa
The Hong Kong Polytechnic University,asia,hk
Tokyo Institute of Technology,asia,jp
Tongji University,asia,cn
Tsinghua University,asia,cn
UESTC,asia,cn
UNIST,asia,kr
USTC,asia,cn
University of Chinese Academy of Sciences,asia,cn
University of Hong Kong,asia,hk
University of Jordan,asia,jo
University of Malaya,asia,my
University of Tokyo,asia,jp
University of Tsukuba,asia,jp
Waseda University,asia,jp
Westlake University,asia,cn
Wuhan University,asia,cn
Xi'an Jiaotong University,asia,cn
Xidian University,asia,cn
Yonsei University,asia,kr
Zhejiang University,asia,cn
Australian National University,australasia,au
Macquarie University,australasia,au
Massey University,australasia,nz
Monash University,australasia,au
Queensland University of Technology,australasia,au
RMIT University,australasia,au
UNSW,australasia,au
University of Adelaide,australasia,au
University of Auckland,australasia,nz
University of Canterbury,australasia,nz
University of Melbourne,australasia,au
University of Newcastle,australasia,au
University of Otago,australasia,nz
University of Queensland,australasia,au
University of Sydney,australasia,au
University of Technology Sydney,australasia,au
University of Waikato,australasia,nz
University of Western Australia,australasia,au
Victoria University of Wellington,australasia,nz
Carleton University,canada,ca
Concordia University,canada,ca
Dalhousie University,canada,ca
ETS Montreal,canada,ca
HEC Montreal,canada,ca
McGill University,canada,ca
McMaster University,canada,ca
Memorial University of Newfoundland,canada,ca
Ontario Tech University,canada,ca
Polytechnique Montreal,canada,ca
Queen’s University,canada,ca
