 transcationno | productno 
---------------+-----------
 536373        | 20679
 536375        | 20679
 536386        | 84880
 536386        | 85099B
 536386        | 85099C
 536387        | 21731
 536387        | 22466
 536387        | 22779
 536387        | 22780
 536387        | 79321
 536396        | 20679
 536406        | 20679
 536531        | 20679
 536595        | 20679
 536749        | 20679
 536750        | 20679
 536752        | 20679
 536790        | 20679
 536804        | 20679
 536831        | 21928
 536831        | 21929
 536831        | 22207
 536831        | 84880
 536865        | 20679
 536974        | 20679
 537042        | 20679
 537081        | 20679
(27 rows)

